main_nc_folds.py --dataset Citeseer --num_layers 128 --lr 0.01 --epoch 1000 --num_splits 10 --seed 12345
split: 0 test_acc: 0.2132132202386856 
split: 1 test_acc: 0.2267267256975174 
split: 2 test_acc: 0.2567567527294159 
split: 3 test_acc: 0.21621622145175934 
split: 4 test_acc: tensor(0.2406, device='cuda:3') 
split: 5 test_acc: 0.21698114275932312 
split: 6 test_acc: 0.24924924969673157 
split: 7 test_acc: tensor(0.2387, device='cuda:3') 
split: 8 test_acc: 0.22522522509098053 
split: 9 test_acc: 0.2222222238779068 
test_acc_list: [0.2132132202386856, 0.2267267256975174, 0.2567567527294159, 0.21621622145175934, 0.24056604504585266, 0.21698114275932312, 0.24924924969673157, 0.2387387454509735, 0.22522522509098053, 0.2222222238779068] 
mean: 0.23058955520391464 
std: 0.014164301706278823 
{
    "lr": 0.01,
    "dropout": 0.2,
    "dropoutgeo": 0.2,
    "cuda": 3,
    "device": "cuda:3",
    "epoch": 1000,
    "decay": 0.0001,
    "optimizer": "adam",
    "momentum": 0.999,
    "patience": 200,
    "seed": 12345,
    "save": 0,
    "save_dir": "./experiment3",
    "sweep_c": 0,
    "print_epoch": true,
    "runtime": 1,
    "task": "nc",
    "model": "GeoGCN",
    "hidden": 64,
    "num_layers": 128,
    "act": "relu",
    "n_heads": 4,
    "alpha": 0.2,
    "use_att": 0,
    "odemap": "h1extend",
    "logmethods": "ode",
    "kdim": 8,
    "agg": "GCN",
    "odemethod": "euler",
    "step_size": 1.0,
    "vt": "clone",
    "sign": 1,
    "rank": 1,
    "dataset": "Citeseer",
    "split_seed": 12345,
    "random_split": false,
    "val_prop": 0.05,
    "test_prop": 0.1,
    "use_feats": 1,
    "normalize_feats": 1,
    "normalize_adj": 1,
    "num_splits": 10,
    "split_id": 9,
    "n_nodes": 3327,
    "feat_dim": 3703,
    "n_classes": 6
}
