fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9
1.5938141224729313e+18,6.497403847961477e+17,1.741513718455337e+17,1.1022129904064922e+17,1.6620789855105843e+17,7.40203339626578e+16,2.920284329114337e+17,1.3817101346773402e+17,2.716578771908952e+18,2.2086540153386435e+18
4.432660941032653e+16,2.475648183393321e+17,1.98035036438528e+16,1.0620306507746509e+17,1.2491872866716877e+17,7.100488037380915e+16,3.1860524386248294e+17,1.2187182732777882e+17,4.232635294626611e+17,1.4493243445293875e+17
5542056147550208.0,1.484521086124032e+17,1.2914661716393984e+16,1.111239121877074e+17,2.5062611640909824e+17,3.39384673597653e+17,8.973930094468792e+17,4.033594827818926e+17,4.773435173989515e+18,1.4160332154994688e+16
2.268852981334016e+16,1.1402261997551616e+17,1.9167242893656064e+16,2.7213058816344064e+17,1.7010206164647936e+16,8.709230744620237e+16,6.397226656360038e+16,4.357723640142234e+16,1.0776571161870336e+17,7.282877259579392e+16
3.680621616431104e+16,4.178331016626176e+16,2.305620048871424e+16,1.5743657890021376e+16,3.5598389756297216e+16,3.199084700840755e+16,1.356967085783122e+17,1.5248541275683553e+18,1.1780964296425472e+16,3.768823923815219e+16
5.986559063385702e+16,6.88241708588073e+16,5.472180036121395e+17,7433569945255936.0,1.004283526989742e+17,4.965849348073062e+16,1.000544929757266e+17,1461205990375424.0,1514615921967104.0,5.272001488879616e+16
4.818073009615012e+17,2.107430071487693e+16,1.3996220380872704e+17,1.089509185814528e+16,1.6509051985933107e+17,6213886743150592.0,9.766897365024768e+16,4355973548343296.0,6.05962977148928e+16,1.041693894728745e+17
4.599283767784243e+16,2.1810986390388736e+16,2.0994321981374464e+16,6.440285850986086e+16,1.7802952974532608e+16,1.3320576928055296e+16,1.8551159899815936e+16,2.372934856553267e+16,3589009427136512.0,2.4020543053234176e+16
2.3587405479857357e+17,7962726559121408.0,8807383417487360.0,1.9812881704943616e+17,9.037499390020813e+16,5.862417758158848e+16,2.3677440020289946e+17,8901882898546688.0,2.182325281698611e+16,1.7789611732369408e+16
4.798772972775014e+16,1.8937131001341542e+17,7634691452567552.0,6573779232751616.0,3.3062008845552845e+17,2.945998813711565e+17,3.1495914304569344e+16,2.1874259848593408e+17,2.689606016512819e+16,1.6550086318227456e+16
