fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9
79.47779846191406,107.30422973632812,121.72767639160156,124.89152526855469,245.4500274658203,200.80601501464844,65.66452026367188,88.78215026855469,72.17727661132812,93.29371643066406
445.5030517578125,221.52496337890625,334.0182189941406,196.76461791992188,487.9374694824219,266.99273681640625,185.88087463378906,597.685302734375,384.74664306640625,219.78857421875
661.4804077148438,888.0348510742188,799.3587036132812,654.7232666015625,611.2732543945312,393.7153015136719,1784.065673828125,342.0050048828125,308.70831298828125,1610.8587646484375
1508.4688720703125,2089.22119140625,4070.60986328125,2775.704833984375,1783.4822998046875,1259.0875244140625,1642.404296875,1357.294189453125,765.01953125,3178.11767578125
2044.6644287109375,1678.682861328125,7817.666015625,3119.330810546875,6963.13134765625,4030.895751953125,3801.141357421875,10407.6728515625,3324.773193359375,5473.3271484375
7040.244140625,3788.2294921875,4319.1884765625,4683.2001953125,8187.34130859375,4100.66259765625,17660.291015625,6483.35693359375,12250.927734375,12708.85546875
4804.466796875,6435.84375,25521.166015625,29876.806640625,12337.2177734375,17734.03125,9180.6435546875,5290.33349609375,10686.060546875,7354.56494140625
19704.767578125,62088.72265625,11232.7607421875,42306.43359375,20671.794921875,11885.59765625,11409.7587890625,12055.3291015625,13948.7470703125,14948.4970703125
7302.583984375,20961.388671875,42498.4765625,43642.42578125,7945.54638671875,10800.0830078125,11384.3212890625,18455.12109375,18225.611328125,24915.7421875
26160.853515625,30767.599609375,52472.6796875,66154.921875,61371.59765625,34023.8203125,15769.873046875,19270.91015625,21335.10546875,27438.37109375
31089.88671875,10799.990234375,23460.623046875,51683.60546875,27980.294921875,52720.81640625,16118.64453125,22568.8828125,27666.16796875,29747.22265625
49338.06640625,16675.134765625,26746.83984375,42199.81640625,65799.828125,26375.9140625,20622.158203125,18095.369140625,32130.9765625,63633.50390625
107261.46875,23883.841796875,128199.671875,34617.6484375,96563.390625,98179.2734375,114076.9765625,22934.58984375,81959.6171875,64273.28515625
34107.37890625,33887.609375,105464.2734375,87469.4609375,34862.69921875,121925.421875,47316.515625,19210.998046875,74236.2265625,54565.421875
